"exam_id"	"exam_date"	"exam_year"	"exam_type"
"GLBAEP103090009"	"1765-09-00"	1765	"settlement"
"GLBAEP103090010"	"1765-09-00"	1765	"settlement"
"GLBAEP103090008"	"1765-09-06"	1765	"settlement"
"GLBAEP103090011"	"1765-10-16"	1765	"settlement"
"GLBAEP103090012"	"1765-10-22"	1765	"settlement"
"GLBAEP103090013"	"1765-10-26"	1765	"settlement"
"GLBAEP103090017"	"1765-12-00"	1765	"settlement"
"GLBAEP103090014"	"1765-12-07"	1765	"settlement"
"GLBAEP103090016"	"1765-12-07"	1765	"settlement"
"GLBAEP103090018"	"1765-12-14"	1765	"settlement"
"GLBAEP103090019"	"1765-12-28"	1765	"settlement"
"GLBAEP103090022"	"1766-01-00"	1766	"settlement"
"GLBAEP103090026"	"1766-01-00"	1766	"settlement"
"GLBAEP103090020"	"1766-01-03"	1766	"settlement"
"GLBAEP103090021"	"1766-01-09"	1766	"settlement"
"GLBAEP103090023"	"1766-01-09"	1766	"settlement"
"GLBAEP103090024"	"1766-01-09"	1766	"settlement"
"GLBAEP103090025"	"1766-01-25"	1766	"settlement"
"GLBAEP103090027"	"1766-02-12"	1766	"settlement"
"GLBAEP103090028"	"1766-03-08"	1766	"settlement"
"GLBAEP103090029"	"1766-03-18"	1766	"settlement"
"GLBAEP103090030"	"1766-03-18"	1766	"settlement"
"GLBAEP103090031"	"1766-04-04"	1766	"settlement"
"GLBAEP103090032"	"1766-04-09"	1766	"settlement"
"GLBAEP103090033"	"1766-04-15"	1766	"settlement"
"GLBAEP103090034"	"1766-04-16"	1766	"settlement"
"GLBAEP103090037"	"1766-05-00"	1766	"settlement"
"GLBAEP103090035"	"1766-05-00"	1766	"settlement"
"GLBAEP103090036"	"1766-05-09"	1766	"settlement"
"GLBAEP103090038"	"1766-05-23"	1766	"settlement"
"GLBAEP103090039"	"1766-06-09"	1766	"settlement"
"GLBAEP103090040"	"1766-07-03"	1766	"settlement"
"GLBAEP103090041"	"1766-07-31"	1766	"settlement"
"GLBAEP103090042"	"1766-09-12"	1766	"settlement"
"GLBAEP103090043"	"1766-09-22"	1766	"settlement"
"GLBAEP103090044"	"1766-09-26"	1766	"settlement"
"GLBAEP103090047"	"1766-10-10"	1766	"settlement"
"GLBAEP103090045"	"1766-10-11"	1766	"settlement"
"GLBAEP103090046"	"1766-10-11"	1766	"settlement"
"GLBAEP103090049"	"1766-11-00"	1766	"settlement"
"GLBAEP103090048"	"1766-11-11"	1766	"settlement"
"GLBAEP103090053"	"1766-12-00"	1766	"settlement"
"GLBAEP103090056"	"1766-12-00"	1766	"settlement"
"GLBAEP103090052"	"1766-12-17"	1766	"settlement"
"GLBAEP103090055"	"1766-12-23"	1766	"settlement"
"GLBAEP103090050"	"1767-01-00"	1767	"bastardy"
"GLBAEP103090051"	"1767-01-00"	1767	"settlement"
"GLBAEP103090058"	"1767-01-00"	1767	"settlement"
"GLBAEP103090054"	"1767-01-27"	1767	"bastardy"
"GLBAEP103090057"	"1767-01-27"	1767	"settlement"
"GLBAEP103090059"	"1767-02-17"	1767	"settlement"
"GLBAEP103090061"	"1767-03-03"	1767	"settlement"
"GLBAEP103090060"	"1767-03-14"	1767	"settlement"
"GLBAEP103090062"	"1767-04-14"	1767	"settlement"
"GLBAEP103090063"	"1767-04-23"	1767	"settlement"
"GLBAEP103090064"	"1767-05-26"	1767	"settlement"
"GLBAEP103090065"	"1767-05-27"	1767	"settlement"
"GLBAEP103090066"	"1767-06-18"	1767	"settlement"
"GLBAEP103090067"	"1767-06-26"	1767	"settlement"
"GLBAEP103090068"	"1767-07-01"	1767	"settlement"
"GLBAEP103090069"	"1767-07-01"	1767	"settlement"
"GLBAEP103090070"	"1767-07-01"	1767	"bastardy"
"GLBAEP103090071"	"1767-07-01"	1767	"settlement"
"GLBAEP103090072"	"1767-08-05"	1767	"settlement"
"GLBAEP103090073"	"1767-08-05"	1767	"settlement"
"GLBAEP103090076"	"1767-09-00"	1767	"settlement"
"GLBAEP103090077"	"1767-09-00"	1767	"settlement"
"GLBAEP103090074"	"1767-09-16"	1767	"settlement"
"GLBAEP103090075"	"1767-09-16"	1767	"settlement"
"GLBAEP103090078"	"1767-09-29"	1767	"settlement"
"GLBAEP103090079"	"1767-09-29"	1767	"settlement"
"GLBAEP103090080"	"1767-09-29"	1767	"settlement"
"GLBAEP103090081"	"1767-09-29"	1767	"settlement"
"GLBAEP103090082"	"1767-10-19"	1767	"settlement"
"GLBAEP103090083"	"1767-10-29"	1767	"settlement"
"GLBAEP103090084"	"1767-11-13"	1767	"settlement"
"GLBAEP103090085"	"1767-11-13"	1767	"settlement"
"GLBAEP103090086"	"1767-11-13"	1767	"bastardy"
