"order_id"	"doc_date"	"doc_year"	"doc_month"	"has_exam"	"has_exam_b"	"multi_orders"	"vagrant"	"name_count"	"gender"	"has_child"	"to_area"	"link_exam_id"	"link_rv_chain"
"WCCDRV36900_0219"	"1754-01-24"	1754	1	"yes"	1	0	1	1	"f"	0	"Cheshire"	"WCCDEP358120047"	""
"WCCDRV36900_0220"	"1754-01-29"	1754	1	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120049"	""
"WCCDRV36900_0221"	"1754-02-08"	1754	2	"yes"	1	0	1	1	"m"	0	"Dorset"	"WCCDEP358120052"	""
"WCCDRV36900_0222"	"1754-02-08"	1754	2	"yes"	1	1	0	1	"f"	0	"London"	"WCCDEP358120053"	"WCCDRV36900_0222 | WCCDRV36900_0281"
"WCCDRV36900_0223"	"1754-02-08"	1754	2	"yes"	1	0	0	2	"fm"	0	"London"	"WCCDEP358120054"	""
"WCCDRV36900_0224"	"1754-02-09"	1754	2	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120055"	""
"WCCDRV36900_0225"	"1754-02-20"	1754	2	"yes"	1	1	0	2	"fm"	0	"London"	"WCCDEP358120057"	"WCCDRV36900_0225 | WCCDRV36900_0233 | WCCDRV36900_0548"
"WCCDRV36900_0226"	"1754-02-23"	1754	2	"yes"	1	0	1	3	"fm"	1	"London"	"WCCDEP358120060"	""
"WCCDRV36900_0227"	"1754-02-23"	1754	2	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358120061"	""
"WCCDRV36900_0228"	"1754-02-25"	1754	2	"yes"	1	0	1	1	"f"	0	"Oxfordshire"	"WCCDEP358120062"	""
"WCCDRV36900_0229"	"1754-02-25"	1754	2	"yes"	1	0	1	1	"m"	0	"Hampshire"	"WCCDEP358120063"	""
"WCCDRV36900_0230"	"1754-02-25"	1754	2	"yes"	1	0	1	1	"f"	0	"Herefordshire"	"WCCDEP358120064"	""
"WCCDRV36900_0231"	"1754-02-25"	1754	2	"yes"	1	0	1	1	"f"	0	"Herefordshire"	"WCCDEP358120059"	""
"WCCDRV36900_0232"	"1754-02-25"	1754	2	"yes"	1	0	1	1	"f"	0	"Staffordshire"	"WCCDEP358120066"	""
"WCCDRV36900_0233"	"1754-02-20"	1754	2	"yes"	1	0	0	2	"fm"	0	"London"	"WCCDEP358120057"	""
"WCCDRV36900_0235"	"1754-02-26"	1754	2	"yes"	1	0	1	1	"f"	0	"Yorkshire"	"WCCDEP358120069"	""
"WCCDRV36900_0236"	"1754-03-06"	1754	3	"yes"	1	0	1	1	"m"	0	"London"	"WCCDEP358120072"	""
"WCCDRV36900_0237"	"1754-03-06"	1754	3	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120073"	""
"WCCDRV36900_0238"	"1754-03-06"	1754	3	"yes"	1	0	1	1	"f"	0	"Durham"	"WCCDEP358120070"	""
"WCCDRV36900_0239"	"1754-03-15"	1754	3	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120074"	""
"WCCDRV36900_0240"	"1754-03-16"	1754	3	"yes"	1	0	1	1	"f"	0	"Hampshire"	"WCCDEP358120075"	""
"WCCDRV36900_0241"	"1754-03-20"	1754	3	"yes"	1	0	1	1	"m"	0	"Wiltshire"	"WCCDEP358120076"	""
"WCCDRV36900_0242"	"1754-03-21"	1754	3	"yes"	1	0	1	1	"m"	0	"Ireland"	"WCCDEP358120077 | WCCDEP358120078"	""
"WCCDRV36900_0243"	"1754-03-13"	1754	3	"yes"	1	1	0	1	"f"	0	"London"	"WCCDEP358120079"	"WCCDRV36900_0243 | WCCDRV36900_0605"
"WCCDRV36900_0244"	"1754-03-28"	1754	3	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358120082"	""
"WCCDRV36900_0245"	"1754-03-28"	1754	3	"yes"	1	0	1	1	"m"	0	"Surrey"	"WCCDEP358120083"	""
"WCCDRV36900_0246"	"1754-04-01"	1754	4	"yes"	1	0	1	1	"f"	0	"Yorkshire"	"WCCDEP358120084"	""
"WCCDRV36900_0247"	"1754-04-02"	1754	4	"yes"	1	0	0	6	"fm"	1	"London"	"WCCDEP358120085"	""
"WCCDRV36900_0248"	"1754-04-03"	1754	4	"yes"	1	0	1	1	"f"	0	"Devon"	"WCCDEP358120086"	""
"WCCDRV36900_0249"	"1754-04-09"	1754	4	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120088"	""
"WCCDRV36900_0250"	"1754-04-09"	1754	4	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120087"	""
"WCCDRV36900_0251"	"1754-04-15"	1754	4	"yes"	1	0	1	1	"f"	0	"Scotland"	"WCCDEP358120089"	""
